node,character,degree,betweenness_real,betweenness_null_mean,betweenness_null_sd,betweenness_z,harmonic_real,harmonic_null_mean,harmonic_null_sd,harmonic_z,betweenness_surprise_rank
248,Thunderbolt_(Marvel_Comics),2,0.0,0.000163520418933824,0.0008800048379445554,-0.185817636316366,94.44999999999985,96.38549999999984,7.837609280581894,-0.24695030470519852,138
241,Synapse_(character),2,3.110564783532648e-05,0.00022204786806287016,0.0010211459704078487,-0.18698817383696947,91.33333333333321,96.4184166666665,7.134422105246011,-0.7127533608635485,139
250,Timeslip_(comics),2,0.0,9.846341826125608e-05,0.0005189893702071056,-0.18972145464552329,97.06666666666653,97.24579761904745,7.638523888563537,-0.023450990661836188,140
4,Alex_Wilder,2,0.0,0.00013828860461895722,0.0007252589009753344,-0.1906748120333105,93.53333333333316,95.93949999999984,8.092565970136748,-0.2973304975882722,141
67,Dragon_Lord_(character),2,0.0,0.00011285713377507563,0.0005634188777810373,-0.2003076897592621,96.63333333333318,97.80988095238078,7.876346704160511,-0.1493773272354949,142
216,Silhouette_(comics),2,0.0,0.00018440007478431598,0.0009003429319735871,-0.2048109317414241,111.24999999999979,96.21883333333318,8.622526965630835,1.7432437992459104,143
215,Silencer_(comics),2,1.3759691528354367e-05,0.00013648653244863537,0.0005909996981571979,-0.2076597353652748,98.5666666666665,97.35421428571412,7.713948286079051,0.15717662810112856,144
206,Scarlet_Witch,32,0.02434413623096369,0.02548127037413646,0.005431589590546437,-0.2093556820183777,144.0833333333333,144.16616666666664,1.8012487990782913,-0.045986614051174324,145
181,Puck_(Marvel_Comics),9,0.002086747241973852,0.0025817214204939933,0.002271530629645238,-0.2179033696752067,123.99999999999982,118.5669999999998,5.0328687817391575,1.0795036063154808,146
243,The_Union_(Marvel),2,0.0,0.00019839236130766356,0.0009058533015239484,-0.21901157833602994,76.98333333333335,96.33621428571412,7.7388815496455035,-2.5007335786483607,147
134,Junior_Juniper,2,0.0,0.00019707155024306595,0.0008956461804781751,-0.22003281489778892,101.99999999999979,96.99983333333317,8.017369994952007,0.6236666974101084,148
38,Captain_Marvel_(Marvel_Comics),17,0.00732259932502273,0.008072691700126703,0.003332922598224969,-0.22505544398284358,122.66666666666643,130.6268333333332,3.210483590604237,-2.4794291707214744,149
272,Wolverine_(Ultimate_Marvel_character),11,0.002898867293722745,0.0034507188307595915,0.0024023249720336085,-0.22971560611539357,119.74999999999977,122.23866666666646,4.349444267754545,-0.5721803783340564,150
218,Skull_the_Slayer,3,0.00013189611686267473,0.00035193778798621754,0.0009525825940448975,-0.23099484758501868,93.98333333333316,101.78408333333314,7.294745111826044,-1.0693656708242778,151
